dataset,name,accent,age,language,podcast,sex,speaker_id,subdataset,subset,type
vox2,id00270,,,,,f,id00270,,train,speakers
vox2,id00271,,,,,f,id00271,,train,speakers
vox2,id00272,,,,,f,id00272,,train,speakers
vox2,id00274,,,,,m,id00274,,val,speakers
vox2,id00275,,,,,m,id00275,,train,speakers
vox2,id00276,,,,,m,id00276,,train,speakers
vox2,id00277,,,,,m,id00277,,train,speakers
vox2,id00279,,,,,m,id00279,,train,speakers
vox2,id00281,,,,,m,id00281,,train,speakers
vox2,id00282,,,,,m,id00282,,train,speakers
vox2,id00283,,,,,m,id00283,,val,speakers
vox2,id00285,,,,,f,id00285,,train,speakers
vox2,id00286,,,,,f,id00286,,train,speakers
vox2,id00287,,,,,f,id00287,,train,speakers
vox2,id00288,,,,,f,id00288,,train,speakers
vox2,id00289,,,,,f,id00289,,train,speakers
vox2,id00290,,,,,f,id00290,,train,speakers
vox2,id00291,,,,,f,id00291,,train,speakers
vox2,id00292,,,,,m,id00292,,val,speakers
vox2,id00296,,,,,m,id00296,,train,speakers
vox2,id00297,,,,,f,id00297,,train,speakers
vox2,id00298,,,,,m,id00298,,train,speakers
vox2,id00299,,,,,f,id00299,,val,speakers
vox2,id00300,,,,,m,id00300,,train,speakers
vox2,id00301,,,,,f,id00301,,val,speakers
vox2,id00302,,,,,m,id00302,,val,speakers
vox2,id00303,,,,,m,id00303,,test,speakers
vox2,id00304,,,,,m,id00304,,train,speakers
vox2,id00305,,,,,m,id00305,,train,speakers
vox2,id00306,,,,,m,id00306,,train,speakers
vox2,id00309,,,,,m,id00309,,train,speakers
vox2,id00311,,,,,m,id00311,,val,speakers
vox2,id00312,,,,,m,id00312,,test,speakers
vox2,id00313,,,,,m,id00313,,train,speakers
vox2,id00314,,,,,m,id00314,,train,speakers
vox2,id00316,,,,,m,id00316,,train,speakers
vox2,id00317,,,,,m,id00317,,train,speakers
vox2,id00318,,,,,m,id00318,,train,speakers
vox2,id00319,,,,,f,id00319,,val,speakers
vox2,id00320,,,,,f,id00320,,val,speakers
vox2,id00322,,,,,m,id00322,,train,speakers
vox2,id00323,,,,,f,id00323,,train,speakers
vox2,id00324,,,,,f,id00324,,train,speakers
vox2,id00325,,,,,f,id00325,,train,speakers
vox2,id00328,,,,,f,id00328,,val,speakers
vox2,id00329,,,,,f,id00329,,train,speakers
vox2,id00330,,,,,f,id00330,,test,speakers
vox2,id00331,,,,,f,id00331,,train,speakers
vox2,id00332,,,,,f,id00332,,train,speakers
vox2,id00336,,,,,f,id00336,,train,speakers
vox2,id00341,,,,,f,id00341,,train,speakers
vox2,id00342,,,,,f,id00342,,train,speakers
vox2,id00344,,,,,f,id00344,,train,speakers
vox2,id00345,,,,,m,id00345,,train,speakers
vox2,id00346,,,,,f,id00346,,val,speakers
vox2,id00347,,,,,f,id00347,,train,speakers
vox2,id00348,,,,,m,id00348,,train,speakers
vox2,id00350,,,,,m,id00350,,train,speakers
vox2,id00351,,,,,f,id00351,,train,speakers
vox2,id00352,,,,,m,id00352,,train,speakers
vox2,id00353,,,,,m,id00353,,train,speakers
vox2,id00354,,,,,f,id00354,,train,speakers
vox2,id00355,,,,,f,id00355,,val,speakers
vox2,id00356,,,,,f,id00356,,train,speakers
vox2,id00357,,,,,f,id00357,,train,speakers
vox2,id00358,,,,,m,id00358,,train,speakers
vox2,id00359,,,,,f,id00359,,train,speakers
vox2,id00361,,,,,m,id00361,,train,speakers
vox2,id00363,,,,,f,id00363,,train,speakers
vox2,id00365,,,,,f,id00365,,train,speakers
vox2,id00366,,,,,m,id00366,,train,speakers
vox2,id00368,,,,,m,id00368,,train,speakers
vox2,id00371,,,,,f,id00371,,train,speakers
vox2,id00372,,,,,f,id00372,,train,speakers
vox2,id00373,,,,,f,id00373,,val,speakers
vox2,id00374,,,,,f,id00374,,train,speakers
vox2,id00376,,,,,f,id00376,,train,speakers
vox2,id00377,,,,,f,id00377,,train,speakers
vox2,id00378,,,,,f,id00378,,train,speakers
vox2,id00379,,,,,f,id00379,,train,speakers
vox2,id00380,,,,,f,id00380,,train,speakers
vox2,id00381,,,,,f,id00381,,train,speakers
vox2,id00383,,,,,f,id00383,,train,speakers
vox2,id00385,,,,,f,id00385,,train,speakers
vox2,id00386,,,,,f,id00386,,train,speakers
vox2,id00387,,,,,f,id00387,,train,speakers
vox2,id00388,,,,,f,id00388,,train,speakers
vox2,id00389,,,,,m,id00389,,val,speakers
vox2,id00390,,,,,m,id00390,,train,speakers
vox2,id00391,,,,,m,id00391,,val,speakers
vox2,id00393,,,,,m,id00393,,train,speakers
vox2,id00395,,,,,f,id00395,,train,speakers
vox2,id00397,,,,,f,id00397,,train,speakers
vox2,id00398,,,,,f,id00398,,val,speakers
vox2,id00399,,,,,f,id00399,,train,speakers
vox2,id00401,,,,,f,id00401,,val,speakers
vox2,id00402,,,,,f,id00402,,test,speakers
vox2,id00403,,,,,f,id00403,,train,speakers
vox2,id00405,,,,,f,id00405,,train,speakers
vox2,id00406,,,,,f,id00406,,train,speakers
vox2,id00407,,,,,m,id00407,,train,speakers
vox2,id00409,,,,,m,id00409,,val,speakers
vox2,id00411,,,,,f,id00411,,test,speakers
vox2,id00412,,,,,m,id00412,,train,speakers
vox2,id00413,,,,,m,id00413,,train,speakers
vox2,id00414,,,,,m,id00414,,train,speakers
vox2,id00415,,,,,m,id00415,,train,speakers
vox2,id00416,,,,,m,id00416,,train,speakers
vox2,id00417,,,,,f,id00417,,train,speakers
vox2,id00418,,,,,f,id00418,,val,speakers
vox2,id00420,,,,,f,id00420,,test,speakers
vox2,id00421,,,,,f,id00421,,train,speakers
vox2,id00422,,,,,f,id00422,,train,speakers
vox2,id00423,,,,,f,id00423,,train,speakers
vox2,id00425,,,,,f,id00425,,train,speakers
vox2,id00426,,,,,f,id00426,,train,speakers
vox2,id00427,,,,,f,id00427,,val,speakers
vox2,id00428,,,,,f,id00428,,train,speakers
vox2,id00429,,,,,f,id00429,,train,speakers
vox2,id00430,,,,,f,id00430,,train,speakers
vox2,id00431,,,,,f,id00431,,train,speakers
vox2,id00432,,,,,f,id00432,,train,speakers
vox2,id00434,,,,,f,id00434,,train,speakers
vox2,id00435,,,,,f,id00435,,train,speakers
vox2,id00436,,,,,m,id00436,,val,speakers
vox2,id00437,,,,,f,id00437,,train,speakers
vox2,id00438,,,,,f,id00438,,train,speakers
vox2,id00448,,,,,f,id00448,,train,speakers
vox2,id00449,,,,,f,id00449,,train,speakers
vox2,id00450,,,,,f,id00450,,train,speakers
vox2,id00456,,,,,f,id00456,,train,speakers
vox2,id00457,,,,,f,id00457,,train,speakers
vox2,id00458,,,,,f,id00458,,train,speakers
vox2,id00459,,,,,m,id00459,,train,speakers
vox2,id00460,,,,,f,id00460,,train,speakers
vox2,id00461,,,,,f,id00461,,train,speakers
vox2,id00462,,,,,f,id00462,,train,speakers
vox2,id00463,,,,,f,id00463,,val,speakers
vox2,id00464,,,,,f,id00464,,train,speakers
vox2,id00465,,,,,f,id00465,,train,speakers
vox2,id00467,,,,,m,id00467,,train,speakers
vox2,id00468,,,,,m,id00468,,train,speakers
vox2,id00469,,,,,m,id00469,,train,speakers
vox2,id00472,,,,,f,id00472,,val,speakers
vox2,id00473,,,,,f,id00473,,train,speakers
vox2,id00475,,,,,m,id00475,,train,speakers
vox2,id00476,,,,,m,id00476,,train,speakers
vox2,id00478,,,,,m,id00478,,train,speakers
vox2,id00479,,,,,m,id00479,,val,speakers
vox2,id00481,,,,,m,id00481,,val,speakers
vox2,id00482,,,,,f,id00482,,train,speakers
vox2,id00483,,,,,m,id00483,,train,speakers
vox2,id00484,,,,,f,id00484,,train,speakers
vox2,id00486,,,,,f,id00486,,train,speakers
vox2,id00488,,,,,f,id00488,,val,speakers
vox2,id00489,,,,,f,id00489,,train,speakers
vox2,id00490,,,,,m,id00490,,val,speakers
vox2,id00491,,,,,f,id00491,,train,speakers
vox2,id00492,,,,,f,id00492,,train,speakers
vox2,id00494,,,,,f,id00494,,train,speakers
vox2,id00495,,,,,f,id00495,,train,speakers
vox2,id00496,,,,,f,id00496,,train,speakers
vox2,id00498,,,,,m,id00498,,train,speakers
vox2,id00500,,,,,f,id00500,,val,speakers
vox2,id00501,,,,,f,id00501,,test,speakers
vox2,id00502,,,,,f,id00502,,train,speakers
vox2,id00503,,,,,f,id00503,,train,speakers
vox2,id00504,,,,,f,id00504,,train,speakers
vox2,id00505,,,,,f,id00505,,train,speakers
vox2,id00506,,,,,m,id00506,,train,speakers
vox2,id00507,,,,,m,id00507,,train,speakers
vox2,id00508,,,,,m,id00508,,val,speakers
vox2,id00509,,,,,m,id00509,,train,speakers
vox2,id00510,,,,,m,id00510,,test,speakers
vox2,id00512,,,,,m,id00512,,train,speakers
vox2,id00513,,,,,m,id00513,,train,speakers
vox2,id00514,,,,,m,id00514,,train,speakers
vox2,id00515,,,,,f,id00515,,train,speakers
vox2,id00516,,,,,m,id00516,,train,speakers
vox2,id00517,,,,,m,id00517,,val,speakers
vox2,id00518,,,,,m,id00518,,train,speakers
vox2,id00519,,,,,m,id00519,,train,speakers
vox2,id00520,,,,,m,id00520,,train,speakers
vox2,id00521,,,,,m,id00521,,train,speakers
vox2,id00522,,,,,m,id00522,,train,speakers
vox2,id00524,,,,,m,id00524,,train,speakers
vox2,id00525,,,,,m,id00525,,train,speakers
vox2,id00526,,,,,m,id00526,,val,speakers
vox2,id00527,,,,,m,id00527,,train,speakers
vox2,id00528,,,,,m,id00528,,train,speakers
vox2,id00529,,,,,m,id00529,,train,speakers
vox2,id00530,,,,,m,id00530,,train,speakers
vox2,id00531,,,,,m,id00531,,train,speakers
vox2,id00534,,,,,m,id00534,,train,speakers
vox2,id00535,,,,,m,id00535,,val,speakers
vox2,id00539,,,,,m,id00539,,train,speakers
vox2,id00542,,,,,m,id00542,,train,speakers
vox2,id00543,,,,,m,id00543,,train,speakers
vox2,id00544,,,,,m,id00544,,val,speakers
vox2,id00545,,,,,m,id00545,,train,speakers
vox2,id00546,,,,,m,id00546,,train,speakers
vox2,id00548,,,,,m,id00548,,train,speakers
vox2,id00550,,,,,m,id00550,,train,speakers
vox2,id00552,,,,,m,id00552,,train,speakers
vox2,id00553,,,,,m,id00553,,val,speakers
vox2,id00554,,,,,m,id00554,,train,speakers
vox2,id00555,,,,,m,id00555,,train,speakers
vox2,id00557,,,,,m,id00557,,train,speakers
vox2,id00558,,,,,m,id00558,,train,speakers
vox2,id00559,,,,,m,id00559,,train,speakers
vox2,id00560,,,,,m,id00560,,train,speakers
vox2,id00561,,,,,m,id00561,,train,speakers
vox2,id00566,,,,,f,id00566,,train,speakers
vox2,id00567,,,,,f,id00567,,train,speakers
vox2,id00568,,,,,f,id00568,,train,speakers
vox2,id00569,,,,,f,id00569,,val,speakers
vox2,id00570,,,,,f,id00570,,train,speakers
vox2,id00571,,,,,f,id00571,,val,speakers
vox2,id00573,,,,,f,id00573,,train,speakers
vox2,id00574,,,,,f,id00574,,train,speakers
vox2,id00575,,,,,f,id00575,,train,speakers
vox2,id00577,,,,,f,id00577,,train,speakers
vox2,id00578,,,,,f,id00578,,val,speakers
vox2,id00579,,,,,f,id00579,,train,speakers
vox2,id00581,,,,,f,id00581,,train,speakers
vox2,id00582,,,,,f,id00582,,train,speakers
vox2,id00584,,,,,f,id00584,,train,speakers
vox2,id00585,,,,,f,id00585,,train,speakers
vox2,id00586,,,,,m,id00586,,train,speakers
vox2,id00587,,,,,m,id00587,,val,speakers
vox2,id00588,,,,,f,id00588,,train,speakers
vox2,id00589,,,,,f,id00589,,train,speakers
vox2,id00591,,,,,f,id00591,,train,speakers
vox2,id00592,,,,,f,id00592,,train,speakers
vox2,id00593,,,,,f,id00593,,train,speakers
vox2,id00594,,,,,m,id00594,,train,speakers
vox2,id00596,,,,,m,id00596,,val,speakers
vox2,id00597,,,,,m,id00597,,train,speakers
vox2,id00607,,,,,f,id00607,,val,speakers
vox2,id00608,,,,,f,id00608,,train,speakers
vox2,id00610,,,,,f,id00610,,train,speakers
vox2,id00611,,,,,f,id00611,,train,speakers
vox2,id00612,,,,,f,id00612,,train,speakers
vox2,id00613,,,,,f,id00613,,train,speakers
vox2,id00614,,,,,f,id00614,,train,speakers
vox2,id00615,,,,,f,id00615,,train,speakers
vox2,id00616,,,,,f,id00616,,val,speakers
vox2,id00617,,,,,f,id00617,,train,speakers
vox2,id00618,,,,,f,id00618,,train,speakers
vox2,id00620,,,,,f,id00620,,train,speakers
vox2,id00621,,,,,f,id00621,,train,speakers
vox2,id00622,,,,,f,id00622,,train,speakers
vox2,id00623,,,,,f,id00623,,train,speakers
vox2,id00624,,,,,f,id00624,,train,speakers
vox2,id00628,,,,,f,id00628,,train,speakers
vox2,id00629,,,,,f,id00629,,train,speakers
vox2,id00631,,,,,f,id00631,,train,speakers
vox2,id00632,,,,,f,id00632,,train,speakers
vox2,id00633,,,,,f,id00633,,train,speakers
vox2,id00634,,,,,f,id00634,,val,speakers
vox2,id00636,,,,,f,id00636,,train,speakers
vox2,id00637,,,,,f,id00637,,train,speakers
vox2,id00638,,,,,f,id00638,,train,speakers
vox2,id00641,,,,,f,id00641,,train,speakers
vox2,id00642,,,,,f,id00642,,train,speakers
vox2,id00643,,,,,f,id00643,,val,speakers
vox2,id00644,,,,,f,id00644,,train,speakers
vox2,id00645,,,,,f,id00645,,train,speakers
vox2,id00647,,,,,f,id00647,,train,speakers
vox2,id00648,,,,,f,id00648,,train,speakers
vox2,id00649,,,,,f,id00649,,train,speakers
vox2,id00650,,,,,f,id00650,,train,speakers
vox2,id00651,,,,,f,id00651,,train,speakers
vox2,id00652,,,,,f,id00652,,val,speakers
vox2,id00653,,,,,f,id00653,,train,speakers
vox2,id00654,,,,,f,id00654,,train,speakers
vox2,id00656,,,,,f,id00656,,train,speakers
vox2,id00657,,,,,f,id00657,,train,speakers
vox2,id00659,,,,,f,id00659,,val,speakers
vox2,id00663,,,,,f,id00663,,train,speakers
vox2,id00664,,,,,f,id00664,,train,speakers
vox2,id00665,,,,,f,id00665,,train,speakers
vox2,id00666,,,,,f,id00666,,train,speakers
vox2,id00667,,,,,f,id00667,,train,speakers
vox2,id00668,,,,,f,id00668,,val,speakers
vox2,id00669,,,,,f,id00669,,train,speakers
vox2,id00670,,,,,f,id00670,,val,speakers
vox2,id00672,,,,,f,id00672,,train,speakers
vox2,id00673,,,,,f,id00673,,train,speakers
vox2,id00674,,,,,f,id00674,,train,speakers
vox2,id00675,,,,,f,id00675,,train,speakers
vox2,id00676,,,,,f,id00676,,train,speakers
vox2,id00677,,,,,f,id00677,,val,speakers
vox2,id00678,,,,,f,id00678,,train,speakers
vox2,id00680,,,,,f,id00680,,train,speakers
vox2,id00681,,,,,f,id00681,,train,speakers
vox2,id00685,,,,,m,id00685,,train,speakers
vox2,id00686,,,,,m,id00686,,val,speakers
vox2,id00687,,,,,f,id00687,,train,speakers
vox2,id00690,,,,,m,id00690,,train,speakers
vox2,id00691,,,,,m,id00691,,train,speakers
vox2,id00692,,,,,m,id00692,,train,speakers
vox2,id00693,,,,,m,id00693,,train,speakers
vox2,id00694,,,,,m,id00694,,train,speakers
vox2,id00695,,,,,m,id00695,,val,speakers
vox2,id00696,,,,,m,id00696,,train,speakers
vox2,id00699,,,,,m,id00699,,train,speakers
vox2,id00700,,,,,f,id00700,,train,speakers
vox2,id00701,,,,,m,id00701,,train,speakers
vox2,id00707,,,,,f,id00707,,train,speakers
vox2,id00708,,,,,m,id00708,,train,speakers
vox2,id00709,,,,,m,id00709,,train,speakers
vox2,id00710,,,,,m,id00710,,train,speakers
vox2,id00711,,,,,m,id00711,,train,speakers
vox2,id00712,,,,,m,id00712,,train,speakers
vox2,id00714,,,,,m,id00714,,train,speakers
vox2,id00715,,,,,m,id00715,,val,speakers
vox2,id00717,,,,,m,id00717,,train,speakers
vox2,id00721,,,,,m,id00721,,train,speakers
vox2,id00723,,,,,m,id00723,,train,speakers
vox2,id00724,,,,,m,id00724,,val,speakers
vox2,id00725,,,,,m,id00725,,train,speakers
vox2,id00726,,,,,f,id00726,,train,speakers
vox2,id00727,,,,,m,id00727,,train,speakers
vox2,id00729,,,,,m,id00729,,train,speakers
vox2,id00730,,,,,f,id00730,,train,speakers
vox2,id00731,,,,,m,id00731,,train,speakers
vox2,id00732,,,,,m,id00732,,train,speakers
vox2,id00735,,,,,f,id00735,,train,speakers
vox2,id00736,,,,,m,id00736,,train,speakers
vox2,id00739,,,,,f,id00739,,train,speakers
vox2,id00740,,,,,m,id00740,,train,speakers
vox2,id00741,,,,,m,id00741,,train,speakers
vox2,id00742,,,,,m,id00742,,val,speakers
vox2,id00745,,,,,m,id00745,,train,speakers
vox2,id00746,,,,,f,id00746,,train,speakers
vox2,id00747,,,,,f,id00747,,train,speakers
vox2,id00750,,,,,f,id00750,,train,speakers
vox2,id00752,,,,,f,id00752,,train,speakers
vox2,id00753,,,,,f,id00753,,train,speakers
vox2,id00754,,,,,f,id00754,,train,speakers
vox2,id00755,,,,,f,id00755,,train,speakers
vox2,id00758,,,,,f,id00758,,val,speakers
vox2,id00759,,,,,f,id00759,,train,speakers
vox2,id00760,,,,,m,id00760,,val,speakers
vox2,id00761,,,,,m,id00761,,train,speakers
vox2,id00762,,,,,m,id00762,,train,speakers
vox2,id00763,,,,,f,id00763,,train,speakers
vox2,id00765,,,,,m,id00765,,train,speakers
vox2,id00766,,,,,m,id00766,,train,speakers
vox2,id00769,,,,,m,id00769,,train,speakers
vox2,id00770,,,,,f,id00770,,train,speakers
vox2,id00773,,,,,m,id00773,,train,speakers
vox2,id00774,,,,,m,id00774,,train,speakers
vox2,id00775,,,,,m,id00775,,train,speakers
vox2,id00776,,,,,m,id00776,,val,speakers
vox2,id00777,,,,,m,id00777,,train,speakers
vox2,id00778,,,,,m,id00778,,train,speakers
vox2,id00779,,,,,m,id00779,,train,speakers
vox2,id00780,,,,,m,id00780,,train,speakers
vox2,id00781,,,,,m,id00781,,train,speakers
vox2,id00782,,,,,m,id00782,,train,speakers
vox2,id00783,,,,,m,id00783,,train,speakers
vox2,id00784,,,,,m,id00784,,train,speakers
vox2,id00785,,,,,m,id00785,,val,speakers
vox2,id00786,,,,,m,id00786,,train,speakers
vox2,id00787,,,,,m,id00787,,train,speakers
vox2,id00788,,,,,m,id00788,,train,speakers
vox2,id00792,,,,,m,id00792,,train,speakers
vox2,id00794,,,,,m,id00794,,val,speakers
vox2,id00796,,,,,m,id00796,,train,speakers
vox2,id00797,,,,,m,id00797,,train,speakers
vox2,id00799,,,,,m,id00799,,test,speakers
vox2,id00801,,,,,m,id00801,,train,speakers
vox2,id00802,,,,,m,id00802,,train,speakers
vox2,id00803,,,,,f,id00803,,train,speakers
vox2,id00804,,,,,f,id00804,,train,speakers
vox2,id00805,,,,,m,id00805,,val,speakers
vox2,id00806,,,,,f,id00806,,train,speakers
vox2,id00809,,,,,f,id00809,,train,speakers
vox2,id00810,,,,,f,id00810,,train,speakers
vox2,id00811,,,,,f,id00811,,train,speakers
vox2,id00813,,,,,f,id00813,,train,speakers
vox2,id00814,,,,,m,id00814,,val,speakers
vox2,id00815,,,,,m,id00815,,train,speakers
vox2,id00816,,,,,m,id00816,,train,speakers
vox2,id00818,,,,,f,id00818,,train,speakers
vox2,id00820,,,,,f,id00820,,train,speakers
vox2,id00823,,,,,f,id00823,,val,speakers
vox2,id00824,,,,,f,id00824,,train,speakers
vox2,id00826,,,,,f,id00826,,train,speakers
vox2,id00827,,,,,m,id00827,,train,speakers
vox2,id00828,,,,,f,id00828,,train,speakers
vox2,id00829,,,,,f,id00829,,train,speakers
vox2,id00830,,,,,m,id00830,,train,speakers
vox2,id00831,,,,,m,id00831,,train,speakers
vox2,id00832,,,,,m,id00832,,val,speakers
vox2,id00833,,,,,f,id00833,,train,speakers
vox2,id00835,,,,,f,id00835,,train,speakers
vox2,id00841,,,,,f,id00841,,val,speakers
vox2,id00842,,,,,f,id00842,,train,speakers
